Genetic Algorithm Statistics
============================
Population Size: 100
Number of Generations: 73069
Crossover Rate: 0.70
Mutation Rate: 0.40
Total Time (seconds): 12.15
Final Best Fitness: 0

Best Fitness per Generation:
Generation 1: 260670
Generation 2: 260670
Generation 3: 260670
Generation 4: 260670
Generation 5: 260670
Generation 6: 260670
Generation 7: 260670
Generation 8: 260670
Generation 9: 260670
Generation 10: 260670
Generation 11: 260670
Generation 12: 260670
Generation 13: 260670
Generation 14: 260670
Generation 15: 260670
Generation 16: 260670
Generation 17: 260670
Generation 18: 260670
Generation 19: 260670
Generation 20: 260670
Generation 21: 260670
Generation 22: 260670
Generation 23: 260670
Generation 24: 260670
Generation 25: 260670
Generation 26: 260670
Generation 27: 260670
Generation 28: 260670
Generation 29: 260670
Generation 30: 260670
Generation 31: 260670
Generation 32: 260670
Generation 33: 260670
Generation 34: 260670
Generation 35: 260670
Generation 36: 200620
Generation 37: 200620
Generation 38: 200620
Generation 39: 200620
Generation 40: 200620
Generation 41: 200620
Generation 42: 200620
Generation 43: 200620
Generation 44: 200620
Generation 45: 200620
Generation 46: 200620
Generation 47: 200620
Generation 48: 200620
Generation 49: 200620
Generation 50: 200620
Generation 51: 200620
Generation 52: 200620
Generation 53: 200620
Generation 54: 200620
Generation 55: 200620
Generation 56: 200620
Generation 57: 200620
Generation 58: 200620
Generation 59: 200620
Generation 60: 200620
Generation 61: 200620
Generation 62: 200620
Generation 63: 200620
Generation 64: 200620
Generation 65: 200620
Generation 66: 200620
Generation 67: 200620
Generation 68: 200620
Generation 69: 200620
Generation 70: 200620
Generation 71: 200620
Generation 72: 200620
Generation 73: 200620
Generation 74: 200620
Generation 75: 200620
Generation 76: 200620
Generation 77: 200620
Generation 78: 200620
Generation 79: 200620
Generation 80: 200620
Generation 81: 200620
Generation 82: 200620
Generation 83: 200620
Generation 84: 200620
Generation 85: 200620
Generation 86: 200620
Generation 87: 200620
Generation 88: 200620
Generation 89: 200620
Generation 90: 200620
Generation 91: 200620
Generation 92: 200620
Generation 93: 200620
Generation 94: 200620
Generation 95: 200620
Generation 96: 200620
Generation 97: 200620
Generation 98: 200620
Generation 99: 200620
Generation 100: 200620
Generation 101: 200620
Generation 102: 200620
Generation 103: 200620
Generation 104: 200620
Generation 105: 200620
Generation 106: 200620
Generation 107: 200620
Generation 108: 200620
Generation 109: 200620
Generation 110: 200620
Generation 111: 200620
Generation 112: 200620
Generation 113: 200620
Generation 114: 200620
Generation 115: 200620
Generation 116: 200620
Generation 117: 200620
Generation 118: 200620
Generation 119: 200620
Generation 120: 200620
Generation 121: 200620
Generation 122: 200620
Generation 123: 200620
Generation 124: 200620
Generation 125: 200620
Generation 126: 200620
Generation 127: 200620
Generation 128: 200620
Generation 129: 200620
Generation 130: 200620
Generation 131: 200620
Generation 132: 200620
Generation 133: 200620
Generation 134: 200620
Generation 135: 200620
Generation 136: 200620
Generation 137: 200620
Generation 138: 200620
Generation 139: 200620
Generation 140: 200620
Generation 141: 200620
Generation 142: 200620
Generation 143: 200620
Generation 144: 200620
Generation 145: 200620
Generation 146: 200620
Generation 147: 200620
Generation 148: 200620
Generation 149: 200620
Generation 150: 200620
Generation 151: 200620
Generation 152: 200620
Generation 153: 200620
Generation 154: 200620
Generation 155: 200620
Generation 156: 200620
Generation 157: 200620
Generation 158: 200620
Generation 159: 200620
Generation 160: 200620
Generation 161: 200620
Generation 162: 200620
Generation 163: 200620
Generation 164: 200620
Generation 165: 200620
Generation 166: 200620
Generation 167: 200620
Generation 168: 200620
Generation 169: 200620
Generation 170: 200620
Generation 171: 200620
Generation 172: 200620
Generation 173: 200620
Generation 174: 200620
Generation 175: 200620
Generation 176: 200620
Generation 177: 200620
Generation 178: 200500
Generation 179: 200500
Generation 180: 200500
Generation 181: 200500
Generation 182: 200500
Generation 183: 200500
Generation 184: 200500
Generation 185: 200500
Generation 186: 200500
Generation 187: 200500
Generation 188: 200500
Generation 189: 200500
Generation 190: 200500
Generation 191: 200500
Generation 192: 200500
Generation 193: 200500
Generation 194: 200500
Generation 195: 200500
Generation 196: 200500
Generation 197: 200500
Generation 198: 200500
Generation 199: 200500
Generation 200: 200500
Generation 201: 200500
Generation 202: 200500
Generation 203: 200500
Generation 204: 200500
Generation 205: 200500
Generation 206: 200500
Generation 207: 200500
Generation 208: 200500
Generation 209: 200500
Generation 210: 200500
Generation 211: 200500
Generation 212: 200500
Generation 213: 200500
Generation 214: 200500
Generation 215: 200500
Generation 216: 200500
Generation 217: 200500
Generation 218: 200500
Generation 219: 200500
Generation 220: 200500
Generation 221: 200500
Generation 222: 200500
Generation 223: 200500
Generation 224: 200500
Generation 225: 200500
Generation 226: 200500
Generation 227: 180540
Generation 228: 180540
Generation 229: 180540
Generation 230: 180540
Generation 231: 180540
Generation 232: 180540
Generation 233: 180540
Generation 234: 180540
Generation 235: 180540
Generation 236: 180540
Generation 237: 180540
Generation 238: 180540
Generation 239: 180540
Generation 240: 180540
Generation 241: 180540
Generation 242: 180540
Generation 243: 180540
Generation 244: 180540
Generation 245: 180540
Generation 246: 180540
Generation 247: 180540
Generation 248: 180540
Generation 249: 180540
Generation 250: 180540
Generation 251: 180540
Generation 252: 180540
Generation 253: 180540
Generation 254: 180540
Generation 255: 180540
Generation 256: 180540
Generation 257: 180540
Generation 258: 180540
Generation 259: 180540
Generation 260: 180540
Generation 261: 160620
Generation 262: 160620
Generation 263: 160620
Generation 264: 160620
Generation 265: 160620
Generation 266: 160620
Generation 267: 160620
Generation 268: 160620
Generation 269: 160620
Generation 270: 160620
Generation 271: 160620
Generation 272: 160620
Generation 273: 160620
Generation 274: 160620
Generation 275: 160620
Generation 276: 160620
Generation 277: 160620
Generation 278: 160620
Generation 279: 160620
Generation 280: 160620
Generation 281: 160620
Generation 282: 160620
Generation 283: 160620
Generation 284: 160620
Generation 285: 160620
Generation 286: 160620
Generation 287: 160620
Generation 288: 160620
Generation 289: 160620
Generation 290: 160620
Generation 291: 160620
Generation 292: 160620
Generation 293: 160620
Generation 294: 160620
Generation 295: 140460
Generation 296: 140460
Generation 297: 140460
Generation 298: 140460
Generation 299: 140460
Generation 300: 140460
Generation 301: 140460
Generation 302: 140460
Generation 303: 140460
Generation 304: 140460
Generation 305: 140460
Generation 306: 140460
Generation 307: 140460
Generation 308: 140460
Generation 309: 140460
Generation 310: 140460
Generation 311: 140460
Generation 312: 140460
Generation 313: 140460
Generation 314: 140460
Generation 315: 140460
Generation 316: 140460
Generation 317: 140460
Generation 318: 140460
Generation 319: 140460
Generation 320: 140460
Generation 321: 140460
Generation 322: 140460
Generation 323: 140460
Generation 324: 140460
Generation 325: 140460
Generation 326: 140460
Generation 327: 140460
Generation 328: 140460
Generation 329: 140460
Generation 330: 140460
Generation 331: 140460
Generation 332: 140460
Generation 333: 140460
Generation 334: 140460
Generation 335: 140460
Generation 336: 140460
Generation 337: 120370
Generation 338: 120370
Generation 339: 120370
Generation 340: 120370
Generation 341: 120370
Generation 342: 120370
Generation 343: 120370
Generation 344: 120370
Generation 345: 120370
Generation 346: 120370
Generation 347: 120370
Generation 348: 120370
Generation 349: 120370
Generation 350: 120370
Generation 351: 120370
Generation 352: 120370
Generation 353: 120370
Generation 354: 120370
Generation 355: 120370
Generation 356: 120370
Generation 357: 120370
Generation 358: 120370
Generation 359: 120370
Generation 360: 120370
Generation 361: 120370
Generation 362: 120370
Generation 363: 120370
Generation 364: 120370
Generation 365: 120370
Generation 366: 120370
Generation 367: 120370
Generation 368: 120370
Generation 369: 120370
Generation 370: 120370
Generation 371: 120370
Generation 372: 120370
Generation 373: 120370
Generation 374: 120370
Generation 375: 120370
Generation 376: 120370
Generation 377: 120370
Generation 378: 120370
Generation 379: 120370
Generation 380: 120370
Generation 381: 120370
Generation 382: 120370
Generation 383: 120370
Generation 384: 80370
Generation 385: 80370
Generation 386: 80370
Generation 387: 80370
Generation 388: 80370
Generation 389: 80370
Generation 390: 80370
Generation 391: 80370
Generation 392: 80370
Generation 393: 80370
Generation 394: 80370
Generation 395: 80370
Generation 396: 80370
Generation 397: 80370
Generation 398: 80370
Generation 399: 80370
Generation 400: 80370
Generation 401: 80370
Generation 402: 80370
Generation 403: 80370
Generation 404: 80370
Generation 405: 80370
Generation 406: 80370
Generation 407: 70370
Generation 408: 70370
Generation 409: 70370
Generation 410: 70370
Generation 411: 70370
Generation 412: 70370
Generation 413: 70370
Generation 414: 70370
Generation 415: 70370
Generation 416: 70370
Generation 417: 70370
Generation 418: 70370
Generation 419: 70370
Generation 420: 70370
Generation 421: 70370
Generation 422: 70370
Generation 423: 70370
Generation 424: 70370
Generation 425: 70370
Generation 426: 60480
Generation 427: 60480
Generation 428: 60480
Generation 429: 60480
Generation 430: 60480
Generation 431: 60480
Generation 432: 60480
Generation 433: 60480
Generation 434: 60480
Generation 435: 60480
Generation 436: 60480
Generation 437: 60480
Generation 438: 60480
Generation 439: 60480
Generation 440: 60480
Generation 441: 60480
Generation 442: 60480
Generation 443: 60480
Generation 444: 60480
Generation 445: 60480
Generation 446: 60480
Generation 447: 60480
Generation 448: 60480
Generation 449: 60480
Generation 450: 60480
Generation 451: 60480
Generation 452: 60480
Generation 453: 60480
Generation 454: 60480
Generation 455: 60480
Generation 456: 60480
Generation 457: 60480
Generation 458: 60480
Generation 459: 60480
Generation 460: 60480
Generation 461: 60480
Generation 462: 60480
Generation 463: 60480
Generation 464: 60480
Generation 465: 60480
Generation 466: 60480
Generation 467: 60480
Generation 468: 60480
Generation 469: 60480
Generation 470: 60480
Generation 471: 60480
Generation 472: 60480
Generation 473: 60480
Generation 474: 60480
Generation 475: 60480
Generation 476: 60480
Generation 477: 60480
Generation 478: 60480
Generation 479: 60480
Generation 480: 60480
Generation 481: 60480
Generation 482: 60480
Generation 483: 60480
Generation 484: 60480
Generation 485: 60480
Generation 486: 60480
Generation 487: 60480
Generation 488: 60480
Generation 489: 60480
Generation 490: 60480
Generation 491: 60480
Generation 492: 60480
Generation 493: 60480
Generation 494: 60480
Generation 495: 60480
Generation 496: 60480
Generation 497: 60480
Generation 498: 60480
Generation 499: 60480
Generation 500: 60480
Generation 501: 60480
Generation 502: 60480
Generation 503: 60480
Generation 504: 60480
Generation 505: 60480
Generation 506: 60480
Generation 507: 60480
Generation 508: 60480
Generation 509: 60480
Generation 510: 60480
Generation 511: 60480
Generation 512: 60480
Generation 513: 60480
Generation 514: 60480
Generation 515: 60330
Generation 516: 60330
Generation 517: 60330
Generation 518: 60330
Generation 519: 60330
Generation 520: 60330
Generation 521: 60330
Generation 522: 60330
Generation 523: 60330
Generation 524: 60330
Generation 525: 60330
Generation 526: 60330
Generation 527: 60330
Generation 528: 60330
Generation 529: 60330
Generation 530: 60330
Generation 531: 60330
Generation 532: 60330
Generation 533: 60330
Generation 534: 60330
Generation 535: 60330
Generation 536: 60330
Generation 537: 60330
Generation 538: 60330
Generation 539: 60330
Generation 540: 60330
Generation 541: 60330
Generation 542: 60330
Generation 543: 60330
Generation 544: 60330
Generation 545: 60330
Generation 546: 60330
Generation 547: 60330
Generation 548: 60330
Generation 549: 60330
Generation 550: 60330
Generation 551: 60330
Generation 552: 60330
Generation 553: 60330
Generation 554: 60330
Generation 555: 60330
Generation 556: 60330
Generation 557: 60330
Generation 558: 60330
Generation 559: 60330
Generation 560: 60330
Generation 561: 60330
Generation 562: 60330
Generation 563: 60330
Generation 564: 60330
Generation 565: 60330
Generation 566: 60330
Generation 567: 60330
Generation 568: 60330
Generation 569: 60330
Generation 570: 60330
Generation 571: 60330
Generation 572: 60330
Generation 573: 60330
Generation 574: 50480
Generation 575: 50480
Generation 576: 50480
Generation 577: 50480
Generation 578: 50480
